gene,compartment,log2FoldChange,abs_log2FC,padj,negLogP,tau_specificity,detection_rate_cirrh,pathway_relevance,druggability,surface_or_secreted,literature_fibrosis,cci_evidence,rule_score,ml_score,final_score,translational_category
DCN,Mesenchyme,2.1056268051106355,2.1056268051106355,0.0005774124305276,3.2385138708684713,0.9838800499396925,0.7640232108317214,1,0,0,0,0.0,0.4147529103909836,0.147100715046363,0.33445725178759744,Mechanistic biomarker
LOXL1,Mesenchyme,1.8094687928619475,1.8094687928619475,0.0088571710985686,2.0527049657493794,0.9649084592926701,0.19148936170212766,1,0,0,0,0.0,0.34207016302975446,0.31005815171527495,0.3324665596354106,Mechanistic biomarker
MMP2,Mesenchyme,3.510740989524412,3.510740989524412,2.7294506966093915e-08,7.563924746158851,0.8743138078555005,0.28239845261121854,0,1,0,0,0.0,0.4388049648798986,0.06815809244570001,0.32761090314963903,Exploratory
PDGFA,Mesenchyme,-2.486628604882189,2.486628604882189,0.0001487412810125,3.8275684825348044,0.9009798773692953,0.2379110251450677,0,1,0,0,0.0,0.40375764430345906,0.06815809244570001,0.30307777874613134,Exploratory
FN1,Mesenchyme,2.572497390968407,2.572497390968407,1.737082737648827e-05,4.760179495514571,0.9060235986211486,0.44874274661508706,1,0,0,0,0.6937404503124291,0.40062520116288947,0.0707313435775647,0.30165704388729203,Mechanistic biomarker
CXCL12,Mesenchyme,1.2728280361467754,1.2728280361467754,0.0324732285952049,1.4884745302413918,0.7130852170634208,0.40425531914893614,0,1,0,0,1.789224340242498,0.3901849314126092,0.07199897576444829,0.2947291447181609,Exploratory
FCN2,Endothelial,-4.601675948709068,4.601675948709068,5.032896597327276e-31,30.298181992247702,0.9562210579858952,0.044821092278719395,0,0,0,0,0.0,0.3880251635043841,0.06206192122953285,0.2902361908219287,Exploratory
FN1,Endothelial,2.0404259888306844,2.0404259888306844,0.0061198663047588,2.2132580653936107,0.9060235986211486,0.4090395480225989,1,0,0,0,0.6937404503124291,0.3754403729122804,0.08383677512120585,0.287959293574958,Mechanistic biomarker
CXCL12,Macrophage,-1.558898604388378,1.558898604388378,0.0055537298959395,2.2554152458597096,0.7130852170634208,0.17969494756911344,0,1,0,0,1.789224340242498,0.3770573617477598,0.0657944719418549,0.28367849480598833,Exploratory
LOX,Endothelial,2.715412708672741,2.715412708672741,0.0149070801323157,1.8266074139987483,0.8000902306590721,0.0696798493408663,1,0,0,0,0.0,0.31187008573777913,0.2123008285206114,0.2819993085726288,Mechanistic biomarker
SERPINF1,Mesenchyme,4.019262331610226,4.019262331610226,3.524131918919017e-20,19.45294784299941,0.9273089008268383,0.4622823984526112,0,0,0,0,0.0,0.3720248697913882,0.06206192122953285,0.2790359852228316,Exploratory
PENK,Mesenchyme,9.167645490350434,9.167645490350434,0.0211240479805025,1.6752228547395072,0.9447806904265874,0.030947775628626693,0,0,0,0,0.0,0.3919334993486231,0.0,0.2743534495440361,Exploratory
VCAM1,Macrophage,-1.5561745823681874,1.5561745823681874,0.0486010069459563,1.3133547326607082,0.7336397840553827,0.1215443279313632,0,0,1,0,0.0,0.17271922943065907,0.5050721914675858,0.2724251180417371,Diagnostic / surface biomarker
OSR1,Mesenchyme,7.384193094884082,7.384193094884082,0.0117466981851006,1.930084189690472,0.9882780228043709,0.18181818181818182,0,0,0,0,0.0,0.37636811362567446,0.0,0.2634576795379721,Exploratory
SBSN,Mesenchyme,7.75801365120283,7.75801365120283,0.0012065940343462,2.91843882625725,0.9851595201955583,0.03288201160541586,0,0,0,0,0.0,0.3728900173962806,0.0,0.2610230121773964,Exploratory
FABP5,Endothelial,2.773087231303172,2.773087231303172,8.736468171804749e-05,4.058664100946184,0.6294293559272361,0.6369114877589453,1,0,0,0,0.0,0.33787211656859284,0.0728079530202286,0.25835286750408354,Mechanistic biomarker
DLK1,Mesenchyme,7.220291131224263,7.220291131224263,0.0049108233542172,2.308845687466538,0.9962316996890063,0.019342359767891684,0,0,0,0,0.0,0.3594508567890072,0.0,0.251615599752305,Exploratory
CTGF,Endothelial,1.3880159118373068,1.3880159118373068,0.0127427374591862,1.894737264645014,0.6720932836806401,0.312241054613936,0,1,0,0,0.0,0.32552404379350475,0.06697628219377745,0.24795971531358652,Exploratory
WT1,Mesenchyme,6.478157547178796,6.478157547178796,0.0268887651969458,1.5704291412674352,0.9783876454633068,0.16634429400386846,0,0,0,0,0.0,0.35010801917362194,0.0,0.24507561342153533,Exploratory
COL8A1,Mesenchyme,5.764894125676292,5.764894125676292,7.551554042246432e-10,9.121963665255304,0.908538783795107,0.21470019342359767,0,0,0,0,0.0,0.34804720757285607,0.0,0.24363304530099922,Exploratory
PTGIS,Mesenchyme,5.155499550990343,5.155499550990343,1.562281156343941e-10,9.806240805503041,0.9156087489132733,0.31334622823984526,0,0,0,0,0.0,0.34768180431312823,0.0,0.24337726301918974,Exploratory
C3,Mesenchyme,5.920215909812943,5.920215909812943,0.0002613291435284,3.5828121548812035,0.9075813898585462,0.3578336557059961,0,0,0,0,0.0,0.34666309387544786,0.0,0.2426641657128135,Exploratory
PDPN,Mesenchyme,7.280766850336506,7.280766850336506,0.0109488881935917,1.9606299790798305,0.8753381283411289,0.16054158607350097,0,0,0,0,0.0,0.34561285511097145,0.0,0.24192899857768,Exploratory
VWF,Endothelial,2.828936784606332,2.828936784606332,4.315287764990831e-07,6.364990238052934,0.9559840870142453,0.8229755178907722,0,0,0,0,0.0,0.34182915225824045,0.0,0.2392804065807683,Exploratory
CCDC80,Mesenchyme,3.8462493046677766,3.8462493046677766,1.0087142950343058e-08,7.996231824506812,0.9279256062632486,0.5415860735009671,0,0,0,0,0.0,0.33654544897778305,0.0,0.2355818142844481,Exploratory
CLEC4M,Endothelial,-5.364685201245133,5.364685201245133,7.29314387693605e-10,9.137085218722337,0.9716094285157804,0.025235404896421846,0,0,0,0,0.0,0.33449913314686514,0.0,0.2341493932028056,Exploratory
CPXM1,Mesenchyme,6.124422880865491,6.124422880865491,4.071653630783642e-07,6.390229173853382,0.8840960389464484,0.13733075435203096,0,0,0,0,0.0,0.33359336766468106,0.0,0.23351535736527673,Exploratory
SOX18,Mesenchyme,5.879365228336121,5.879365228336121,0.0008228733833939,3.0846669851081874,0.9830591611767516,0.04448742746615087,0,0,0,0,0.0,0.33024348321514946,0.0,0.2311704382506046,Exploratory
VCAN,Mesenchyme,4.426605339540523,4.426605339540523,1.0278924564083623e-14,13.988052321169167,0.8879281598837265,0.22243713733075435,0,0,0,0,0.0,0.3295337736839595,0.0014181723023070623,0.23109909326946373,Exploratory
VWF,Mesenchyme,5.197467817950051,5.197467817950051,6.306921390449053e-07,6.200182582025066,0.9559840870142453,0.14893617021276595,0,0,0,0,0.0,0.3291929269320997,0.0,0.2304350488524698,Exploratory
PCOLCE,Mesenchyme,3.1366038045584106,3.1366038045584106,6.621107547802206e-13,12.179069357740538,0.9203926313609748,0.5009671179883946,0,0,0,0,0.0,0.3285743577521152,0.0,0.23000205042648061,Exploratory
CLEC4G,Endothelial,-4.971603658089102,4.971603658089102,4.863291950489337e-12,11.31306965831982,0.9495491753337278,0.02975517890772128,0,0,0,0,0.0,0.32813161095392157,0.0,0.22969212766774508,Exploratory
ROR2,Mesenchyme,5.731506661664718,5.731506661664718,0.0109574264360741,1.9602914363495068,0.9801592346317651,0.09477756286266925,0,0,0,0,0.0,0.32726465389340464,0.0,0.22908525772538324,Exploratory
CRABP2,Mesenchyme,4.117669838546733,4.117669838546733,4.765599492659511e-12,11.321882459143723,0.971058101148067,0.14119922630560927,0,0,0,0,0.0,0.32436780087719297,0.0,0.22705746061403506,Exploratory
SFRP4,Mesenchyme,5.565506317514962,5.565506317514962,0.0053573486401573,2.271050090127114,0.984064573139019,0.06963249516441006,0,0,0,0,0.0,0.32285360288192644,0.0,0.2259975220173485,Exploratory
LXN,Mesenchyme,5.205621035112255,5.205621035112255,2.203171767104576e-12,11.656951642387284,0.7480590948393749,0.3771760154738878,0,0,0,0,0.0,0.3225769789881002,0.0,0.22580388529167014,Exploratory
TWIST1,Mesenchyme,5.530574613170297,5.530574613170297,0.0116093882460823,1.9351906647016177,0.996389084262615,0.04642166344294004,0,0,0,0,0.0,0.3214298981050708,0.0,0.22500092867354954,Exploratory
FBLN1,Mesenchyme,3.701734841374768,3.701734841374768,1.8060815739449239e-10,9.743262638123245,0.9519039807581748,0.30174081237911027,0,0,0,0,0.0,0.32079700262893784,0.0,0.22455790184025648,Exploratory
CA12,Mesenchyme,5.824610425530318,5.824610425530318,0.0032990714074064,2.4816082841797416,0.931833400768957,0.10058027079303675,0,0,0,0,0.0,0.32055740216004935,0.0,0.22439018151203452,Exploratory
FABP4,Endothelial,4.425272318316382,4.425272318316382,6.24934606269114e-06,5.204165425251655,0.8552573391518928,0.5103578154425612,0,0,0,0,0.0,0.32038848247404234,0.0,0.22427193773182963,Exploratory
BDKRB1,Mesenchyme,6.199239930378851,6.199239930378851,0.0039508118505549,2.4033136522247647,0.8987276050545078,0.061895551257253385,0,0,0,0,0.0,0.3174572778543344,0.0,0.22222009449803407,Exploratory
KDR,Mesenchyme,5.134476493337994,5.134476493337994,0.0021796984733562,2.6616035799800977,0.9820927383595094,0.08704061895551257,0,0,0,0,0.0,0.31541170429844845,0.0,0.2207881930089139,Exploratory
EFEMP1,Mesenchyme,3.6965612203225895,3.6965612203225895,4.765599492659511e-12,11.321882459143723,0.8606476172840869,0.3984526112185687,0,0,0,0,0.0,0.31452755731453086,0.0,0.22016929012017158,Exploratory
CILP2,Mesenchyme,5.437870994343649,5.437870994343649,0.0153727475521242,1.813248504648194,0.9841639370282971,0.017408123791102514,0,0,0,0,0.0,0.3130935251129505,0.0,0.21916546757906535,Exploratory
IGF1,Mesenchyme,6.354389202039505,6.354389202039505,5.0471360138643766e-05,4.296954991427435,0.8161113041912706,0.10251450676982592,0,0,0,0,0.0,0.3124238667076191,0.0,0.21869670669533336,Exploratory
PAPPA,Mesenchyme,4.208184822494488,4.208184822494488,1.8440228994840704e-06,5.734233690084006,0.9736776629424048,0.18181818181818182,0,0,0,0,0.0,0.31188437871038066,0.0,0.21831906509726645,Exploratory
LY6H,Endothelial,5.743202988307057,5.743202988307057,0.0008316264125183,3.0800717258956527,0.9214273646548806,0.031638418079096044,0,0,0,0,0.0,0.31140049030484634,0.0,0.21798034321339244,Exploratory
SEZ6L2,Mesenchyme,5.228635699648086,5.228635699648086,9.533595782394025e-05,4.0207432657923725,0.8984599000667421,0.172147001934236,0,0,0,0,0.0,0.31132189089209417,0.0,0.2179253236244659,Exploratory
ECSCR|ENSG00000249751,Mesenchyme,4.979553707554233,4.979553707554233,0.0017917031251955,2.746733948786833,0.9836307212359411,0.06382978723404255,0,0,0,0,0.0,0.3101231188898101,0.0,0.21708618322286705,Exploratory
RARRES1,Mesenchyme,4.323124126844136,4.323124126844136,2.449358212663294e-09,8.610947695721913,0.8452791573786447,0.3152804642166344,0,0,0,0,0.0,0.3079183465305889,0.0,0.21554284257141224,Exploratory
MMP23B,Mesenchyme,3.681451723164751,3.681451723164751,6.26483712476229e-13,12.203090215449794,0.8329174291591771,0.3694390715667311,0,0,0,0,0.0,0.30785074117199257,0.0,0.21549551882039478,Exploratory
RELN,Endothelial,-3.537039875127096,3.537039875127096,2.9390715815180425e-15,14.531789836492981,0.9494578839060646,0.02824858757062147,0,0,0,0,0.0,0.30554447503226273,0.0051408745958631,0.21542339490134282,Exploratory
COL5A1,Mesenchyme,3.1459197618629697,3.1459197618629697,3.8580413641260277e-10,9.413633120363627,0.9649164646025763,0.2804642166344294,0,0,0,0,0.0,0.3075790940021333,0.0,0.2153053658014933,Exploratory
THY1,Mesenchyme,3.192239775058077,3.192239775058077,7.032724821233786e-10,9.152876375471246,0.8923671396610563,0.43907156673114117,0,0,0,0,0.0,0.3067177015564217,0.0,0.21470239108949518,Exploratory
PRSS23,Mesenchyme,3.126298493417069,3.126298493417069,5.851066683476636e-10,9.232764952290767,0.8956544431185567,0.43520309477756286,0,0,0,0,0.0,0.3058317695357028,0.0,0.21408223867499193,Exploratory
OR51E1,Endothelial,5.40839032340636,5.40839032340636,0.0437150190456034,1.3593693280636785,0.9575032578895257,0.02937853107344633,0,0,0,0,0.0,0.30582417555365216,0.0,0.2140769228875565,Exploratory
F2RL2,Endothelial,-4.89161097791667,4.89161097791667,0.0005244923387984,3.2802608511155706,0.9906683114905835,0.0015065913370998117,0,0,0,0,0.0,0.3053160499016171,0.0,0.21372123493113196,Exploratory
PRRX1,Mesenchyme,4.075509609890903,4.075509609890903,0.0001487412810125,3.8275684825348044,0.9935210356234775,0.16247582205029013,0,0,0,0,0.0,0.30489861599848694,0.0,0.21342903119894086,Exploratory
LYVE1,Endothelial,-2.894204794223844,2.894204794223844,3.0663848869349017e-19,18.51337333422362,0.851863695029697,0.06177024482109228,0,0,0,0,0.0,0.2848687282479061,0.04528021565223262,0.21299217446920404,Exploratory
CFH,Mesenchyme,2.55027211903174,2.55027211903174,2.220828510243541e-08,7.653484975864122,0.9090351407607933,0.5667311411992263,0,0,0,0,0.0,0.3031981915865752,0.0,0.21223873411060262,Exploratory
LTBP2,Mesenchyme,4.156301804876415,4.156301804876415,3.747982174619447e-07,6.426202483281276,0.9328965320791534,0.1760154738878143,0,0,0,0,0.0,0.3029758119069422,0.0,0.21208306833485954,Exploratory
C1R,Mesenchyme,2.682148275999834,2.682148275999834,6.103107013476585e-07,6.214449014943471,0.8625277109210032,0.690522243713733,0,0,0,0,0.0,0.30285856242948705,0.0,0.21200099370064093,Exploratory
IGFBP6,Mesenchyme,2.642233237775556,2.642233237775556,2.687136839298148e-07,6.570710217065566,0.9100776754667103,0.5667311411992263,0,0,0,0,0.0,0.3018553861734207,0.0,0.2112987703213945,Exploratory
CR1L,Endothelial,-5.16265125241729,5.16265125241729,0.0069103749453262,2.160498387898091,0.961572655092465,0.0018832391713747645,0,0,0,0,0.0,0.3010445570807342,0.0,0.2107311899565139,Exploratory
MGP,Mesenchyme,2.0833222771045623,2.0833222771045623,6.684852161656704e-07,6.17490819290262,0.8015708018493254,0.9516441005802708,0,0,0,0,0.0,0.3006401629815387,0.0,0.2104481140870771,Exploratory
RP11-96C23.15,Mesenchyme,-5.395782735804283,5.395782735804283,0.0456903408258823,1.3401756023240738,0.9451518747192822,0.007736943907156673,0,0,0,0,0.0,0.3004212239291291,0.0,0.21029485675039036,Exploratory
COMP,Mesenchyme,4.721360167389356,4.721360167389356,1.7198904240522874e-06,5.764499221549054,0.9284676891701178,0.0367504835589942,0,0,0,0,0.0,0.29893676135864816,0.0,0.2092557329510537,Exploratory
FST,Mesenchyme,4.480475949346779,4.480475949346779,0.0006160975954347,3.2103504862098027,0.9676763481160341,0.0851063829787234,0,0,0,0,0.0,0.29847210801418134,0.0,0.20893047560992692,Exploratory
FCN3,Endothelial,-3.90146851609154,3.90146851609154,1.8110591564794515e-06,5.742067363648946,0.9089360891237447,0.26516007532956687,0,0,0,0,0.0,0.2979940564944095,0.0,0.20859583954608665,Exploratory
IFI27,Mesenchyme,2.9515928948791914,2.9515928948791914,8.063049071969018e-06,5.093500697062794,0.9077171772459939,0.504835589941973,0,0,0,0,0.0,0.2972488541632764,0.0,0.20807419791429346,Exploratory
STEAP1,Mesenchyme,5.14257712167835,5.14257712167835,1.672771646118411e-06,5.776563341523883,0.8011075982632369,0.21470019342359767,0,0,0,0,0.0,0.2969375462090322,0.0,0.2078562823463225,Exploratory
CRHBP,Endothelial,-3.092139397098093,3.092139397098093,1.1043662026269338e-08,7.9568868927220375,0.9537920633878555,0.25574387947269306,0,0,0,0,0.0,0.29623448731351965,0.0,0.20736414111946375,Exploratory
THBS2,Mesenchyme,3.1274277295366826,3.1274277295366826,1.91867020158088e-06,5.716999669320111,0.9937438956870214,0.23017408123791103,0,0,0,0,0.0,0.2960864752235607,0.0,0.20726053265649247,Exploratory
CPXM2,Mesenchyme,4.764392770095723,4.764392770095723,0.0091235251018174,2.0398373287250506,0.9655000574029018,0.03288201160541586,0,0,0,0,0.0,0.2953389147561202,0.0,0.20673724032928412,Exploratory
S100A16,Mesenchyme,3.445372348536066,3.445372348536066,1.5525316229666203e-10,9.808959545070843,0.8411577226867959,0.35589941972920697,0,0,0,0,0.0,0.2946445842137377,0.0,0.20625120894961638,Exploratory
MS4A6A,Endothelial,-3.6373239665256416,3.6373239665256416,2.1099247474511856e-11,10.675733033967475,0.9072506665332283,0.11450094161958568,0,0,0,0,0.0,0.2933791877394266,0.0,0.2053654314175986,Exploratory
PLA2G2A,Mesenchyme,4.884742336052544,4.884742336052544,0.0439467342533743,1.3570733924544949,0.854082887860349,0.2611218568665377,0,0,0,0,0.0,0.29265817171296615,0.0,0.2048607201990763,Exploratory
RAMP2,Mesenchyme,3.2741856682046104,3.2741856682046104,1.6418704766777324e-06,5.784661106341332,0.9635834912338469,0.22823984526112184,0,0,0,0,0.0,0.292527310449576,0.0,0.20476911731470318,Exploratory
OIT3,Endothelial,-3.68956396552144,3.68956396552144,4.315287764990831e-07,6.364990238052934,0.9787546602974763,0.06177024482109228,0,0,0,0,0.0,0.2911213595141787,0.0,0.2037849516599251,Exploratory
F5,Mesenchyme,4.588678412828157,4.588678412828157,0.0338556820993289,1.4703684319332972,0.9607498526728216,0.061895551257253385,0,0,0,0,0.0,0.29106422461572556,0.0,0.20374495723100788,Exploratory
KIAA1462,Mesenchyme,4.442627931201004,4.442627931201004,0.0167859357165392,1.7750544443949472,0.9707903856707033,0.059961315280464215,0,0,0,0,0.0,0.29084899027018485,0.0,0.2035942931891294,Exploratory
CXorf36,Endothelial,2.324649106382897,2.324649106382897,0.0003409890877507,3.467259518970803,0.9803644613728366,0.4726930320150659,0,0,0,0,0.0,0.2907066250597736,0.0,0.20349463754184152,Exploratory
CD14,Endothelial,-2.740247356979767,2.740247356979767,3.441981185671397e-17,16.463191507913578,0.8211310633024376,0.2214689265536723,0,0,0,0,0.0,0.2830099748204653,0.01637651349092679,0.20301993642160374,Exploratory
AMHR2,Endothelial,-4.659185226729549,4.659185226729549,0.0008472169555659,3.0720053611689595,0.9462437668600331,0.0018832391713747645,0,0,0,0,0.0,0.28885377346436025,0.0,0.20219764142505217,Exploratory
PDGFRL,Mesenchyme,3.710889200249304,3.710889200249304,5.829799443438945e-05,4.234346385567911,0.9548838478779035,0.16247582205029013,0,0,0,0,0.0,0.28877983937138624,0.0,0.20214588755997034,Exploratory
OLFML3,Mesenchyme,2.053551258403126,2.053551258403126,3.116409017314508e-07,6.506345547692259,0.9725611120418884,0.425531914893617,0,0,0,0,0.0,0.2883196079360044,0.0,0.2018237255552031,Exploratory
LUM,Mesenchyme,2.76624350415059,2.76624350415059,0.0003385129916386,3.470424659065443,0.9829135458885048,0.3365570599613153,0,0,0,0,0.0,0.28801490487949755,0.0,0.20161043341564827,Exploratory
CST6,Macrophage,4.837273902934152,4.837273902934152,2.2489308753473183e-06,5.648023893126655,0.864135488044547,0.051954242135367014,0,0,0,0,0.0,0.28777322775110215,0.0,0.20144125942577149,Exploratory
POU4F1,Endothelial,4.496673012310598,4.496673012310598,0.0116964868044228,1.9319445647984086,0.9580020570439628,0.03239171374764595,0,0,0,0,0.0,0.28691590146235824,0.0,0.20084113102365075,Exploratory
VWA1,Endothelial,2.909498298697988,2.909498298697988,0.0140814209198035,1.8513535194485957,0.8934122193060435,0.5548022598870056,0,0,0,0,0.0,0.28674744249851364,0.0,0.20072320974895955,Exploratory
CILP,Mesenchyme,3.883381861445604,3.883381861445604,0.0075775620120228,2.1204705008370652,0.9982013736735664,0.06963249516441006,0,0,0,0,0.0,0.28632882102157614,0.0,0.2004301747151033,Exploratory
PODXL,Mesenchyme,3.85582283881294,3.85582283881294,0.0009310175220575,3.0310421453760426,0.9709706140811765,0.10444874274661509,0,0,0,0,0.0,0.2859617675082094,0.0,0.20017323725574657,Exploratory
ADAMTS18,Endothelial,4.266094488345501,4.266094488345501,0.0127510964158994,1.894452470374926,0.9745878150133244,0.03540489642184558,0,0,0,0,0.0,0.28556561909693723,0.0,0.19989593336785605,Exploratory
MEG3,Mesenchyme,2.982918853053577,2.982918853053577,3.107740483069896e-09,8.507555254824938,0.8692663662474533,0.34622823984526113,0,0,0,0,0.0,0.28493463568816485,0.0,0.19945424498171538,Exploratory
KCNH7,Endothelial,-4.202134696234539,4.202134696234539,0.0013015124290341,2.8855516801593164,0.9741691687509813,0.0015065913370998117,0,0,0,0,0.0,0.2840019987175245,0.0,0.19880139910226716,Exploratory
IL13RA2,Endothelial,-3.8446753646174656,3.8446753646174656,4.315287764990831e-07,6.364990238052934,0.9546397558205343,0.009792843691148776,0,0,0,0,0.0,0.2839283798810654,0.0,0.19874986591674576,Exploratory
RARRES2,Mesenchyme,2.2051531999303946,2.2051531999303946,0.0009399906173493,3.026876481351111,0.835941740431388,0.781431334622824,0,0,0,0,0.0,0.28361735953243883,0.0,0.19853215167270716,Exploratory
APOD,Endothelial,4.1341151847299455,4.1341151847299455,0.0003271141945715,3.485300609985927,0.9065296880275424,0.1480225988700565,0,0,0,0,0.0,0.2833718871551297,0.0,0.19836032100859077,Exploratory
RP11-1143G9.4,Macrophage,-1.7534982984716236,1.7534982984716236,0.0307302419185209,1.5124340208218794,0.9425065700624151,0.6882745471877979,0,0,0,0,0.0,0.28335782285475447,0.0,0.1983504759983281,Exploratory
TWIST2,Mesenchyme,3.404207313801168,3.404207313801168,0.0007705905273018,3.1131763339758116,0.9845619917769431,0.14893617021276595,0,0,0,0,0.0,0.2833096413725229,0.0,0.198316748960766,Exploratory
SPARCL1,Endothelial,1.955650710032257,1.955650710032257,0.0120488573270797,1.9190541381575617,0.827056919306261,0.8839924670433145,0,0,0,0,0.0,0.28215344151588656,0.0,0.19750740906112058,Exploratory
SPOCK1,Mesenchyme,5.19629124324274,5.19629124324274,0.0229608049800547,1.639012890130011,0.8666748789102011,0.0367504835589942,0,0,0,0,0.0,0.2814062161205428,0.0,0.19698435128437994,Exploratory
ISLR,Mesenchyme,2.914813836212327,2.914813836212327,1.529773886786686e-05,4.815372756749613,0.9594936651025573,0.2437137330754352,0,0,0,0,0.0,0.28138285699557314,0.0,0.1969679998969012,Exploratory
CLEC1B,Endothelial,-4.1469384635329645,4.1469384635329645,0.0003271141945715,3.485300609985927,0.9477113084141816,0.02862523540489642,0,0,0,0,0.0,0.2813276413685333,0.0,0.1969293489579733,Exploratory
GJA1,Mesenchyme,3.656603031421426,3.656603031421426,0.0010527441814882,2.9776771502444825,0.9539679356664659,0.14313346228239845,0,0,0,0,0.0,0.2810299516020264,0.0,0.19672096612141846,Exploratory
COL15A1,Mesenchyme,3.8942820802248086,3.8942820802248086,0.0014401673276336,2.8415870459282346,0.9624108097372996,0.06576402321083172,0,0,0,0,0.0,0.28034388124401977,0.0,0.19624071687081382,Exploratory
C1S,Mesenchyme,2.277436707870354,2.277436707870354,0.0004988646393085,3.302017278777696,0.9046939621590357,0.5570599613152805,0,0,0,0,0.0,0.2798381170231391,0.0,0.19588668191619735,Exploratory
RBP7,Mesenchyme,3.8919524586770646,3.8919524586770646,3.5477334934340814e-05,4.4500490119175815,0.922433310748701,0.09864603481624758,0,0,0,0,0.0,0.27980952024302025,0.0,0.19586666417011417,Exploratory
RFPL1,Endothelial,-4.068062740912398,4.068062740912398,0.0112010089338564,1.950742856377005,0.9816191087954363,0.004519774011299435,0,0,0,0,0.0,0.27968300527137246,0.0,0.1957781036899607,Exploratory
MEDAG,Mesenchyme,5.052061371207648,5.052061371207648,0.0003385129916386,3.470424659065443,0.8092760926366366,0.11992263056092843,0,0,0,0,0.0,0.27929513960515123,0.0,0.19550659772360585,Exploratory
LPL,Endothelial,4.461789976407733,4.461789976407733,0.0127427374591862,1.894737264645014,0.9312278579314565,0.026741996233521657,0,0,0,0,0.0,0.2791688701876007,0.0,0.1954182091313205,Exploratory
TMEM176A,Mesenchyme,3.123711948977487,3.123711948977487,0.0001706017073807,3.7680166267305943,0.8768133124429804,0.3984526112185687,0,0,0,0,0.0,0.2788594770064459,0.0,0.19520163390451215,Exploratory
