pathway,ligand,receptor,sender,receiver,ligand_mean_cirrh,ligand_mean_healthy,receptor_mean_cirrh,receptor_mean_healthy,ligand_bias,receptor_bias,interaction_score,hint_match
CSF1,CSF1,CSF1R,Mesenchyme,Macrophage,0.10855727642774582,0.15167544782161713,0.8106221556663513,0.651949405670166,-0.04311817139387131,0.1586727499961853,0.2466716834273126,True
TGFB,TGFB1,TGFBR2,Endothelial,Mesenchyme,0.42445313930511475,0.4253186881542206,0.26698577404022217,0.13585813343524933,-0.000865548849105835,0.13112764060497284,0.24445059054615115,False
TGFB,TGFB1,TGFBR1,Mesenchyme,Macrophage,0.27498483657836914,0.10981771349906921,0.1578809767961502,0.12462641298770905,0.16516712307929993,0.03325456380844116,0.24183656149086374,False
Osteopontin,SPP1,ITGAV,Macrophage,Mesenchyme,0.17661462724208832,0.03145637363195419,0.18315573036670685,0.12679481506347656,0.14515825361013412,0.056360915303230286,0.23386714995933278,True
TWEAK,TNFSF12,TNFRSF12A,Macrophage,Mesenchyme,0.2036503702402115,0.10389171540737152,0.407809853553772,0.3591911196708679,0.09975865483283997,0.04861873388290405,0.2314280163795761,True
CSF1,CSF1,CSF1R,Endothelial,Macrophage,0.07619665563106537,0.2258801907300949,0.8106221556663513,0.651949405670166,-0.14968353509902954,0.1586727499961853,0.22043944723840614,False
TWEAK,TNFSF12,TNFRSF12A,Endothelial,Mesenchyme,0.21195943653583527,0.15954124927520752,0.407809853553772,0.3591911196708679,0.05241818726062775,0.04861873388290405,0.1874760679165508,False
ECM-Integrin,FN1,ITGAV,Macrophage,Mesenchyme,0.11051470041275024,0.012907600961625576,0.18315573036670685,0.12679481506347656,0.09760709945112467,0.056360915303230286,0.17420941542471002,False
Osteopontin,SPP1,ITGAV,Macrophage,Endothelial,0.17661462724208832,0.03145637363195419,0.12261684983968735,0.2007383555173874,0.14515825361013412,-0.07812150567770004,0.16681418283816962,False
TGFB,TGFB1,TGFBR2,Endothelial,Macrophage,0.42445313930511475,0.4253186881542206,0.28795042634010315,0.26537394523620605,-0.000865548849105835,0.022576481103897095,0.14479794352820008,False
TWEAK,TNFSF12,TNFRSF12A,Macrophage,Endothelial,0.2036503702402115,0.10389171540737152,0.07164107263088226,0.0456453375518322,0.09975865483283997,0.025995735079050064,0.14034412087757508,False
Osteopontin,SPP1,CD44,Mesenchyme,Macrophage,0.0923377275466919,0.06132616102695465,0.9727697968482971,1.327744483947754,0.031011566519737244,-0.3549746870994568,0.12083491898676613,False
Osteopontin,SPP1,CD44,Endothelial,Macrophage,0.09404817223548889,0.06854003667831421,0.9727697968482971,1.327744483947754,0.025508135557174683,-0.3549746870994568,0.11699535695664487,False
ECM-Integrin,FN1,ITGAV,Macrophage,Endothelial,0.11051470041275024,0.012907600961625576,0.12261684983968735,0.2007383555173874,0.09760709945112467,-0.07812150567770004,0.1111580638767129,False
ECM-Integrin,FN1,ITGAV,Macrophage,Macrophage,0.11051470041275024,0.012907600961625576,0.12086960673332214,0.128080353140831,0.09760709945112467,-0.00721074640750885,0.1109649678282647,False
TGFB,TGFB1,TGFBR1,Endothelial,Macrophage,0.42445313930511475,0.4253186881542206,0.1578809767961502,0.12462641298770905,-0.000865548849105835,0.03325456380844116,0.1002676400461251,False
Osteopontin,SPP1,ITGAV,Endothelial,Mesenchyme,0.09404817223548889,0.06854003667831421,0.18315573036670685,0.12679481506347656,0.025508135557174683,0.056360915303230286,0.09909451253584978,False
Chemokine,CXCL12,CXCR4,Macrophage,Endothelial,0.24972136318683624,0.6120506525039673,0.2265157699584961,0.18609529733657837,-0.36232928931713104,0.040420472621917725,0.09698629947926918,False
Chemokine,CCL2,CCR2,Endothelial,Macrophage,0.34154853224754333,0.45701998472213745,0.125162273645401,0.0836995467543602,-0.11547145247459412,0.0414627268910408,0.08421171774739289,True
NOTCH,JAG1,NOTCH2,Mesenchyme,Macrophage,0.2625352144241333,0.4575226306915283,0.2805406153202057,0.2823548913002014,-0.19498741626739502,-0.0018142759799957275,0.0736517905977685,False
TWEAK,TNFSF12,TNFRSF12A,Endothelial,Macrophage,0.21195943653583527,0.15954124927520752,0.06605881452560425,0.06097663566470146,0.05241818726062775,0.005082178860902786,0.07150215522660286,False
NOTCH,JAG1,NOTCH2,Endothelial,Macrophage,0.2388039231300354,0.2522108256816864,0.2805406153202057,0.2823548913002014,-0.013406902551651001,-0.0018142759799957275,0.06699419953577923,False
NOTCH,JAG1,NOTCH1,Mesenchyme,Endothelial,0.2625352144241333,0.4575226306915283,0.24563448131084442,0.2586429715156555,-0.19498741626739502,-0.013008490204811096,0.0644877012209033,True
Chemokine,CXCL12,CXCR4,Endothelial,Mesenchyme,0.5168121457099915,0.5390211939811707,0.12333017587661743,0.16122309863567352,-0.0222090482711792,-0.03789292275905609,0.06373853282558528,False
TWEAK,TNFSF12,TNFRSF12A,Mesenchyme,Endothelial,0.2976483106613159,0.3025999367237091,0.07164107263088226,0.0456453375518322,-0.0049516260623931885,0.025995735079050064,0.047319579321596805,False
Osteopontin,SPP1,ITGAV,Mesenchyme,Endothelial,0.0923377275466919,0.06132616102695465,0.12261684983968735,0.2007383555173874,0.031011566519737244,-0.07812150567770004,0.042333727792867926,False
Osteopontin,SPP1,ITGAV,Mesenchyme,Macrophage,0.0923377275466919,0.06132616102695465,0.12086960673332214,0.128080353140831,0.031011566519737244,-0.00721074640750885,0.04217239133495454,False
Osteopontin,SPP1,ITGAV,Endothelial,Macrophage,0.09404817223548889,0.06854003667831421,0.12086960673332214,0.128080353140831,0.025508135557174683,-0.00721074640750885,0.03687570114926597,False
NOTCH,JAG1,NOTCH1,Mesenchyme,Macrophage,0.2625352144241333,0.4575226306915283,0.06295888125896454,0.04456889256834984,-0.19498741626739502,0.0183899886906147,0.0349189120818405,False
NOTCH,JAG1,NOTCH1,Endothelial,Macrophage,0.2388039231300354,0.2522108256816864,0.06295888125896454,0.04456889256834984,-0.013406902551651001,0.0183899886906147,0.033424816531133494,False
NOTCH,JAG1,NOTCH2,Endothelial,Mesenchyme,0.2388039231300354,0.2522108256816864,0.11921609193086624,0.11463046818971634,-0.013406902551651001,0.004585623741149902,0.03305489419447172,True
Chemokine,CXCL12,CXCR4,Macrophage,Mesenchyme,0.24972136318683624,0.6120506525039673,0.12333017587661743,0.16122309863567352,-0.36232928931713104,-0.03789292275905609,0.03079817964198117,False
TWEAK,TNFSF12,TNFRSF12A,Mesenchyme,Macrophage,0.2976483106613159,0.3025999367237091,0.06605881452560425,0.06097663566470146,-0.0049516260623931885,0.005082178860902786,0.024744473408738088,False
