leiden,HSC_quiescent,HSC_activated,Kupffer,Monocyte,SAM,LSEC,Endothelial_vasc,Scar_endothelial,Cholangiocyte,Hepatocyte,T_cell,B_cell,Plasma,NK,pDC,Mast
10,0.08939915551991968,0.7948502587848068,-0.16915125063584519,-0.3931026042885139,0.15875984719339536,-0.1100581647477295,-0.20815829629719465,-0.4094195777099109,-0.09798927506035919,-0.06860174714468523,-0.7163885599639788,-0.07424010753567345,0.29412528608726124,-0.6986070962143022,-0.08003133621089897,-0.033320720172962774
11,-0.07716217771569661,-0.09882336477336563,1.3633734813623604,0.24459861095486002,0.1359277451849037,-0.044401707295922264,-0.005581948908675075,-0.3827927595991621,-0.12081257669124316,-0.1019542032886907,-0.3845811663792285,-0.0803775192662625,0.4720155642370184,-0.4583830645817478,0.019824937472707582,-0.014805218604628988
12,0.1443555502598037,0.16668622918088438,0.33662921415900204,-0.1409737745835532,-0.07930583120522526,2.043005957189177,0.527963585081126,-0.22053721739171026,-0.16188216812277822,0.0032545268251912263,-0.4380121318071876,-0.09889541251162914,0.5171521003249945,-0.6541253420976535,-0.03570827767832601,-0.027615429982258837
13,-0.04588956955667173,-0.16620844466696783,-0.10774894999497638,-0.3230588773605757,-0.14329116461861643,-0.09290372365088398,-0.14502392333039305,-0.3533896604912592,-0.09012728332244244,-0.1648788449091395,-0.489869989992417,1.5741460433971022,1.1426848704298747,-0.4764427373128146,0.039423768150642566,-0.007792450083080436
14,-0.02564158686177523,-0.04724307135248838,-0.060909080667961114,-0.1865227424144335,-0.04279399375928074,-0.009778982372207631,-0.037322137678392986,-0.15556622839744252,-0.04903345071859118,-0.029559068248107816,-0.38408790161212286,0.36614536340541887,4.051158243590507,-0.3336827433827347,0.04789959044020245,-0.001268654418884268
15,0.25447028320466586,1.3204787481526135,-0.12887254211761498,-0.2834356190224066,-0.024967838950016398,-0.149510509049781,-0.17680516966747223,-0.3714649468307555,0.04427213940293618,-0.1210799459571779,-0.7026472471027732,-0.09991576400748912,0.10202942443166318,-0.6821645551799242,-0.07406082542638294,-0.03447463195271953
16,-0.08139980613949947,-0.17098990541653253,-0.09635421303803639,-0.2899522205712522,-0.07964356749032754,-0.12385678052114228,-0.11950251730165239,-0.291497082769534,-0.14809957832805182,-0.18709078051639816,-0.37420715346982925,-0.07129140780605166,0.12148534523430518,0.4721848226270433,-0.022909877744771667,-0.02138593935899142
17,0.14726259110840048,-0.10202214145575722,-0.15310510051513904,-0.15950032866633812,-0.06697965197376878,-0.15608722817261136,-0.17493880418384822,-0.3882955306000033,0.39910149256168803,1.8130219603585933,-0.6603001464170646,-0.0800218825105365,0.2415344845963227,-0.5881984983825058,-0.048326354128879735,-0.05237312616674062
18,0.13604565029659607,0.045544043214806235,0.06902984602252642,-0.38329590704916094,0.4104235230827057,0.07202453306082524,0.41456536765532065,-0.3670755899650882,-0.11689675805062959,-0.07263243695750381,-0.7348729521289016,-0.09628579194617994,0.2812649609247843,-0.6648100202083588,-0.06585366623329393,-0.02551468426771838
19,-0.07303116689499156,-0.1781583633814108,-0.11871997937428046,0.15771656031541134,-0.12776221514574515,-0.09757762774887971,-0.1639481460828067,0.013557192514717325,-0.10301675754257394,-0.15800126779683027,-0.5861357964669601,-0.03935302422267978,0.12336681331260294,-0.5614696844091898,0.03547222688731262,0.0038103067346766033
